Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
1		2400		2400		0.5993		None		0
1		2450		2450		0.6006		None		0
1		2500		2500		0.5912		None		0
1		2550		2550		0.5955		None		0
1		2600		2600		0.5961		None		0
1		2650		2650		0.5928		None		0
1		2700		2700		0.5883		None		0
1		2750		2750		0.5980		None		0
1		2800		2800		0.5992		None		0
1		2850		2850		0.5867		None		0
1		2900		2900		0.5984		None		0
1		2950		2950		0.5946		None		0
1		3000		3000		0.5905		None		0
1		3050		3050		0.5939		None		0
1		3100		3100		0.6059		None		0
1		3150		3150		0.5959		None		0
1		3200		3200		0.5837		None		0
1		3250		3250		0.5911		None		0
1		3300		3300		0.5866		None		0
1		3350		3350		0.5900		None		0
1		3400		3400		0.6006		None		0
1		3450		3450		0.5929		None		0
1		3500		3500		0.5921		None		0
1		3550		3550		0.6014		None		0
1		3600		3600		0.5870		None		0
1		3650		3650		0.5878		None		0
1		3700		3700		0.6000		None		0
1		3750		3750		0.5919		None		0
1		3800		3800		0.5790		None		0
1		3850		3850		0.5916		None		0
1		3900		3900		0.5915		None		0
1		3950		3950		0.5852		None		0
1		4000		4000		0.5819		None		0
1		4050		4050		0.5796		None		0
1		4100		4100		0.6047		None		0
1		4150		4150		0.5867		None		0
1		4200		4200		0.6256		None		0
1		4250		4250		0.6135		None		0
1		4300		4300		0.6052		None		0
1		4350		4350		0.6198		None		0
1		4400		4400		0.5838		None		0
1		4450		4450		0.6048		None		0
1		4500		4500		0.5896		None		0
1		4550		4550		0.5967		None		0
1		4600		4600		0.5880		None		0
1		4650		4650		0.5915		None		0
1		4700		4700		0.5884		None		0
1		4750		4750		0.5958		None		0
1		4800		4800		0.5849		None		0
1		4850		4850		0.5911		None		0
1		4900		4900		0.5956		None		0
1		4950		4950		0.5867		None		0
1		5000		5000		0.5826		None		0
1		5050		5050		0.5852		None		0
1		5100		5100		0.5894		None		0
1		5150		5150		0.5867		None		0
1		5200		5200		0.5888		None		0
1		5250		5250		0.5782		None		0
1		5300		5300		0.6125		None		0
1		5350		5350		0.5861		None		0
1		5400		5400		0.5866		None		0
1		5450		5450		0.5897		None		0
1		5500		5500		0.5874		None		0
1		5550		5550		0.6048		None		0
1		5600		5600		0.5771		None		0
1		5650		5650		0.5872		None		0
1		5700		5700		0.5795		None		0
1		5750		5750		0.5856		None		0
1		5800		5800		0.5956		None		0
1		5850		5850		0.5873		None		0
1		5900		5900		0.5958		None		0
1		5950		5950		0.5859		None		0
1		6000		6000		0.5872		None		0
2		50		6050		0.5917		None		0
2		100		6100		0.5878		None		0
2		150		6150		0.5878		None		0
2		200		6200		0.5914		None		0
2		250		6250		0.5820		None		0
2		300		6300		0.5814		None		0
2		350		6350		0.5881		None		0
2		400		6400		0.5744		None		0
2		450		6450		0.5811		None		0
2		500		6500		0.5864		None		0
2		550		6550		0.5838		None		0
2		600		6600		0.5585		None		0
2		650		6650		0.5920		None		0
2		700		6700		0.5738		None		0
2		750		6750		0.5895		None		0
2		800		6800		0.5835		None		0
2		850		6850		0.5812		None		0
2		900		6900		0.5853		None		0
2		950		6950		0.5868		None		0
2		1000		7000		0.5865		None		0
2		1050		7050		0.5822		None		0
2		1100		7100		0.5857		None		0
2		1150		7150		0.5800		None		0
2		1200		7200		0.5888		None		0
2		1250		7250		0.5852		None		0
2		1300		7300		0.5827		None		0
2		1350		7350		0.5793		None		0
2		1400		7400		0.5844		None		0
2		1450		7450		0.5786		None		0
2		1500		7500		0.5856		None		0
2		1550		7550		0.3952		None		0
2		1600		7600		0.1446		None		0
2		1650		7650		0.1603		None		0
2		1700		7700		0.1753		None		0
2		1750		7750		0.0601		None		0
2		1800		7800		0.0516		None		0
2		1850		7850		0.0436		None		0
2		1900		7900		0.1027		None		0
2		1950		7950		0.0602		None		0
2		2000		8000		0.1220		None		0
2		2050		8050		0.0430		None		0
2		2100		8100		0.0287		None		0
2		2150		8150		0.0646		None		0
2		2200		8200		0.0269		None		0
2		2250		8250		0.0862		None		0
2		2300		8300		0.0339		None		0
2		2350		8350		0.0304		None		0
2		2400		8400		0.0528		None		0
2		2450		8450		0.0633		None		0
2		2500		8500		0.0241		None		0
2		2550		8550		0.0239		None		0
2		2600		8600		0.0396		None		0
2		2650		8650		0.0462		None		0
2		2700		8700		0.0255		None		0
2		2750		8750		0.0441		None		0
2		2800		8800		0.0517		None		0
2		2850		8850		0.0478		None		0
2		2900		8900		0.0451		None		0
2		2950		8950		0.0272		None		0
2		3000		9000		0.0907		None		0
2		3050		9050		0.0261		None		0
2		3100		9100		0.0619		None		0
2		3150		9150		0.0335		None		0
2		3200		9200		0.0298		None		0
2		3250		9250		0.0389		None		0
2		3300		9300		0.0220		None		0
2		3350		9350		0.0355		None		0
2		3400		9400		0.0287		None		0
2		3450		9450		0.0426		None		0
2		3500		9500		0.0200		None		0
2		3550		9550		0.0322		None		0
2		3600		9600		0.0290		None		0
2		3650		9650		0.0334		None		0
2		3700		9700		0.0244		None		0
2		3750		9750		0.0251		None		0
2		3800		9800		0.0360		None		0
2		3850		9850		0.0365		None		0
2		3900		9900		0.0443		None		0
2		3950		9950		0.0281		None		0
2		4000		10000		0.0190		None		0
2		4050		10050		0.0207		None		0
2		4100		10100		0.1154		None		0
2		4150		10150		0.0273		None		0
2		4200		10200		0.0268		None		0
2		4250		10250		0.0281		None		0
2		4300		10300		0.0381		None		0
2		4350		10350		0.0883		None		0
2		4400		10400		0.0363		None		0
2		4450		10450		0.0278		None		0
2		4500		10500		0.0287		None		0
2		4550		10550		0.0244		None		0
2		4600		10600		0.0304		None		0
2		4650		10650		0.0257		None		0
2		4700		10700		0.0246		None		0
2		4750		10750		0.0271		None		0
2		4800		10800		0.0305		None		0
2		4850		10850		0.0546		None		0
2		4900		10900		0.0392		None		0
2		4950		10950		0.0330		None		0
2		5000		11000		0.0278		None		0
2		5050		11050		0.0182		None		0
2		5100		11100		0.0201		None		0
2		5150		11150		0.0366		None		0
2		5200		11200		0.0349		None		0
2		5250		11250		0.0228		None		0
2		5300		11300		0.0245		None		0
2		5350		11350		0.0262		None		0
2		5400		11400		0.0568		None		0
2		5450		11450		0.0249		None		0
2		5500		11500		0.0325		None		0
2		5550		11550		0.0403		None		0
2		5600		11600		0.0467		None		0
2		5650		11650		0.0213		None		0
2		5700		11700		0.0286		None		0
2		5750		11750		0.0500		None		0
2		5800		11800		0.0235		None		0
2		5850		11850		0.0641		None		0
2		5900		11900		0.0329		None		0
2		5950		11950		0.0791		None		0
2		6000		12000		0.0231		None		0
3		50		12050		0.0451		2.8292		1
3		100		12100		0.0233		2.7667		1
3		150		12150		0.0210		2.4625		1
3		200		12200		0.0244		2.3584		1
3		250		12250		0.0218		1.9995		1
3		300		12300		0.0288		2.0735		1
